C004,8,34,30,1546105047
C010,20,30,30,1546087727
C023,26,34,30,1546076424
C033,21,33,30,1546105047
C049,31,10,30,1546057335
C051,36,24,30,1546057335
C056,16,17,30,1546105047
C061,19,15,30,1546076424
C065,29,25,30,1546087727
C069,35,19,30,1546057335
C078,25,10,30,1546076424
C082,15,23,30,1546076424
C085,25,30,30,1546076424
C086,14,23,30,1546087727
C088,15,12,30,1546105047
C092,27,33,30,1546087727
C097,16,37,30,1546076424
C099,37,28,30,1546076424
C104,37,31,30,1546057335
C107,12,26,30,1546105047
C108,20,15,30,1546087727
C112,15,31,30,1546105047
C113,8,38,30,1546057335
C116,21,26,30,1546105047
C117,19,35,30,1546057335
C120,32,20,30,1546105047
C126,21,11,30,1546076424
C130,37,34,30,1546076424
C131,25,13,30,1546076424
C134,9,30,30,1546105047
C135,35,36,30,1546057335
C137,19,37,30,1546105047
C143,21,18,30,1546076424
C144,11,30,30,1546057335
C147,25,28,30,1546087727
C149,14,39,30,1546105047
C150,16,16,30,1546105047
C151,22,38,30,1546087727
C159,38,14,30,1546076424
C167,18,22,30,1546087727
C168,27,10,30,1546087727
C169,23,21,30,1546087727
C171,33,34,30,1546076424
C174,32,32,30,1546076424
C179,13,38,30,1546076424
C185,15,31,30,1546105047
C190,28,27,30,1546076424
C191,23,11,30,1546076424
C197,21,33,30,1546057335
